Region,Alliance,Rank,Votes,Result,Candidate,Party,Constituency,SeatsWon,rcount_BJP_cong_jds_nota,ResultMinority
Southern Karnataka,Others_a,5th and above,280,Lost_,JAGRUTHI ANANDA .S,Independent,Chiknayakanhalli,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,269,Lost_,M.V. REDDY,Janata Dal (United),Chiknayakanhalli,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,1116,Lost_,None of the Above,NOTA,Chiknayakanhalli,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,73905,Won_,DR. UMESH G JADHAV,Indian National Congress,Chincholi,1,1,Won - had more than 50% votes
Hyderabad Karnataka,BJP,2nd,54693,Lost_,SUNIL Y VALLYAPURE,Bharatiya Janata Party,Chincholi,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,1621,Lost_,SUSHILABAI B KORVI,Janata Dal (Secular),Chincholi,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,391,Lost_,MITHUN KHEMU RATHOD,Independent,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,317,Lost_,VIJAYLAXMI LAXMAN OMKAR,All India Mahila Empowerment Party,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,246,Lost_,BASAVARAJ ANWARKAR,Independent,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,233,Lost_,GOUTAM MANIK MORE,Namma Congress,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,185,Lost_,BASAWARAJ M WADI,Indian New Congress Party,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,176,Lost_,SRIKANT MANIKRAO,Dr. Ambedkar People's Party,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,149,Lost_,SHANKAR JADHAV,Bharatiya Peoples Party,Chincholi,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,4th,1082,Lost_,None of the Above,NOTA,Chincholi,0,1,Lost - had less than 20% votes
Southern Karnataka,Cong-JDS,1st,87753,Won_,J K KRISHNA REDDY,Janata Dal (Secular),Chintamani,1,1,Won
Southern Karnataka,Others_a,2nd,82080,Lost_,DR.M.C SUDHAKAR,Bharatiya Praja Paksha,Chintamani,0,0,Lost
Southern Karnataka,Cong-JDS,3rd,2233,Lost_,VANI KRISHNAREDDY,Indian National Congress,Chintamani,0,1,Lost - had less than 20% votes
Southern Karnataka,BJP,4th,1961,Lost_,NAA SHANKAR,Bharatiya Janata Party,Chintamani,0,1,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,1425,Lost_,N.R SUDHAKAR,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,794,Lost_,T.C VENKATESHREDDY,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,784,Lost_,SRINATHA. L.V,Dr. Ambedkar People's Party,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,384,Lost_,BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,357,Lost_,SURESH Y.N,Rashtriya Manav Vikas Party,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,286,Lost_,M. SUDHAKAR,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,276,Lost_,G.S SHUBHASH,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,227,Lost_,SUDHAKARAREDDY K.V,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,220,Lost_,KRISHNAREDDY,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,192,Lost_,DR.S. RACHANA,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,150,Lost_,SYED ALEEM PASHA,Ambedkar National Congress,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,126,Lost_,GHOUSE KHAN,All India Mahila Empowerment Party,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,126,Lost_,T.S SUDHAKARAREDDY,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,122,Lost_,KRISHNA REDDY .M,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,119,Lost_,JAMEER PASHA,Ambedkar Samaj Party,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,108,Lost_,SYED AYUB,Federal Congress of India,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,88,Lost_,R. SUDHAKAR,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,Others_a,5th and above,66,Lost_,M. KRISHNA REDDY,Independent,Chintamani,0,0,Lost - had less than 20% votes
Southern Karnataka,NOTA_a,5th and above,877,Lost_,None of the Above,NOTA,Chintamani,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,82896,Won_,G H THIPPAREDDY,Bharatiya Janata Party,Chitradurga,1,1,Won
Central Karnataka,Cong-JDS,2nd,49911,Lost_,K.C.VEERENDRA (PAPPY),Janata Dal (Secular),Chitradurga,0,1,Lost
Central Karnataka,Cong-JDS,3rd,49014,Lost_,H.A. SHANMUKHAPPA (HANUMALI),Indian National Congress,Chitradurga,0,1,Lost
Central Karnataka,Others_a,5th and above,1287,Lost_,N.SURESH,Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,994,Lost_,V.S.BHUTHARAJA,Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,789,Lost_,M.T.CHANDRANNA,Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,610,Lost_,JAGADEESH,Samanya Janatha Party (Loktantrik),Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,466,Lost_,P.S.PUTTASWAMY (SWAMY),Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,350,Lost_,DR. DODDAMALLAIAH,Swaraj India,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,328,Lost_,B.E.SHYAM SUNDAR KULAKARNI,Bhaarateeya Janashakthi Congress,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,262,Lost_,GANESH,Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,218,Lost_,M.KIRAN,Independent,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,184,Lost_,SYED ISMAIL,All India Mahila Empowerment Party,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,183,Lost_,G.S. NAGARAJA,Karnataka Swabhimani Raithara Karmikara Party,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,154,Lost_,K.S.SARASWATHI,Samajwadi Party,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,153,Lost_,RAJA MADAKARI NAYAKA,Kannada Paksha,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,132,Lost_,H.M.HANUMAPPA,Karnataka Jantha Paksha,Chitradurga,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,1427,Lost_,None of the Above,NOTA,Chitradurga,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,1st,69700,Won_,PRIYANK KHARGE,Indian National Congress,Chittapur,1,1,Won
Hyderabad Karnataka,BJP,2nd,65307,Lost_,VALMIK NAIK,Bharatiya Janata Party,Chittapur,0,1,Lost
Hyderabad Karnataka,Others_a,3rd,1218,Lost_,DEVARAJA V K,Bahujan Samaj Party,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,4th,1136,Lost_,RAJU HADNOOR,All India Mahila Empowerment Party,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,615,Lost_,SABANNA B DODDAMNI,Independent,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,612,Lost_,SHANKAR CHAWAN,Independent,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,418,Lost_,VINOD ANNA,Independent,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,311,Lost_,RUKKAPPA K LEADER,Independent,Chittapur,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,5th and above,1052,Lost_,None of the Above,NOTA,Chittapur,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,94044,Won_,R.MANJUNATHA,Janata Dal (Secular),Dasarahalli,1,1,Won
Bengaluru Karnataka,BJP,2nd,83369,Lost_,S MUNIRAJU,Bharatiya Janata Party,Dasarahalli,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,31711,Lost_,P.N.KRISHNAMURTHY,Indian National Congress,Dasarahalli,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,1674,Lost_,N.PRATHAP SIMHA,Communist Party of India (Marxist),Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,809,Lost_,LOKESH GOWDA. V,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,473,Lost_,DOMINIC SAVIO G,Kannada Paksha,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,462,Lost_,DHANANJAYA . L . GOWDA,Karnataka Pragnyavantha Janatha Party,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,308,Lost_,SHAMBHULINGE GOWDA (GANDHI VADI),Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,238,Lost_,MANJUNATH B.R,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,228,Lost_,M RAJANNA,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,214,Lost_,SARAVANA . V,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,213,Lost_,ASHWINI.C,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,193,Lost_,DR. N. NITHYANANDA,Janata Dal (United),Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,178,Lost_,KIRAN. C. H,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,160,Lost_,NAGARAJU,Independent,Dasarahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2011,Lost_,None of the Above,NOTA,Dasarahalli,0,1,Lost - had less than 20% votes
Central Karnataka,BJP,1st,76540,Won_,S.A. RAVINDRANATH,Bharatiya Janata Party,Davanagere North,1,1,Won
Central Karnataka,Cong-JDS,2nd,72469,Lost_,S.S. MALLIKARJUN,Indian National Congress,Davanagere North,0,1,Lost
Central Karnataka,Cong-JDS,3rd,5381,Lost_,ANANDA. M,Janata Dal (Secular),Davanagere North,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,541,Lost_,ANANDAPPA JYOTHI,Shivsena,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,260,Lost_,M.HANUMANTHAPPA,Independent,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,219,Lost_,S.S. SUBHAN KHAN,Independent,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,184,Lost_,B. P. MADEV,Independent,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,177,Lost_,B .V. THIPPESWAMY. GOSHALE,Independent,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,148,Lost_,HEBBALU KENCHAVEERAPPA,Vichara Jagruthi Congress Paksha,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,123,Lost_,NAGARAJ. S,Sampoorna Bharat Kranti Party,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,111,Lost_,NASEER HUSSAIN,Karnataka Pragnyavantha Janatha Party,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,104,Lost_,K.G.P. GNANAPRAKASH,Independent,Davanagere North,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,1070,Lost_,None of the Above,NOTA,Davanagere North,0,1,Lost - had less than 20% votes
Central Karnataka,Cong-JDS,1st,71369,Won_,SHAMANUR SHIVASHANKARAPPA,Indian National Congress,Davanagere South,1,1,Won - had more than 50% votes
Central Karnataka,BJP,2nd,55485,Lost_,YASHAVANTHA RAO JADHAV,Bharatiya Janata Party,Davanagere South,0,1,Lost
Central Karnataka,Cong-JDS,3rd,6020,Lost_,J. AMANULLA KHAN,Janata Dal (Secular),Davanagere South,0,1,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,869,Lost_,NOWSHIN TAJ,All India Mahila Empowerment Party,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,514,Lost_,AHAMED KABEER ALI,Independent,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,261,Lost_,SADIQ K,Independent,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,202,Lost_,MUDDAPURADA REHMAN SAB,Lok Awaz Dal,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,192,Lost_,H. SHAIK HABEEBULLA,Karnataka Pragnyavantha Janatha Party,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,157,Lost_,RAGHAVENDRA K L,Aam Aadmi Party,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,Others_a,5th and above,116,Lost_,RIZWAN SAB H B,Janahitha Paksha,Davanagere South,0,0,Lost - had less than 20% votes
Central Karnataka,NOTA_a,4th,888,Lost_,None of the Above,NOTA,Davanagere South,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,67003,Won_,SHIVANA GOUDA NAYAK,Bharatiya Janata Party,Devadurga,1,1,Won
Hyderabad Karnataka,Cong-JDS,2nd,45958,Lost_,A RAJASHEKAR NAYAK,Indian National Congress,Devadurga,0,1,Lost
Hyderabad Karnataka,Others_a,3rd,25226,Lost_,KAREMMA,Independent,Devadurga,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Cong-JDS,4th,7137,Lost_,ARKERA VENKATESH PUJARI,Janata Dal (Secular),Devadurga,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,6391,Lost_,MAMITHA SIDDAYYATATA GURUVINA,Independent,Devadurga,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,2179,Lost_,SHIVARAJ DORE,All India Mahila Empowerment Party,Devadurga,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1543,Lost_,NARASANNAGOUDA HOSAMANI,Independent,Devadurga,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,NOTA_a,5th and above,1932,Lost_,None of the Above,NOTA,Devadurga,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,86966,Won_,NARAYANASWAMY L N,Janata Dal (Secular),Devanahalli,1,1,Won - had more than 50% votes
Bengaluru Karnataka,Cong-JDS,2nd,69956,Lost_,VENKATASWAMY,Indian National Congress,Devanahalli,0,1,Lost
Bengaluru Karnataka,BJP,3rd,9820,Lost_,K NAGESH,Bharatiya Janata Party,Devanahalli,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,821,Lost_,SRINIVAS M SANNIDHI,Independent,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,625,Lost_,INDIRAMMA B V,Republican Party of India,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,457,Lost_,B RAMACHANDRA,Independent,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,311,Lost_,NAGARAJA,Ambedkarite Party of India,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,280,Lost_,D.R.NARAYANASWAMY,Independent,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,247,Lost_,MYATHYU MUNIYAPPA S M,Independent,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,194,Lost_,K RAMACHANDRAPPA,All India Mahila Empowerment Party,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,181,Lost_,NAGARAJU M,Republican Sena,Devanahalli,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,1300,Lost_,None of the Above,NOTA,Devanahalli,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,48245,Won_,SOMANAGOUDA B PATIL (SASANUR),Bharatiya Janata Party,Devar Hippargi,1,1,Won
Bombay Karnataka,Cong-JDS,2nd,44892,Lost_,BHIMANAGOUDA (RAJUGOUDA) B PATIL,Janata Dal (Secular),Devar Hippargi,0,1,Lost
Bombay Karnataka,Cong-JDS,3rd,38038,Lost_,B S PATIL (YALAGI),Indian National Congress,Devar Hippargi,0,1,Lost
Bombay Karnataka,Others_a,4th,3111,Lost_,ASIF HERKAL,Aam Aadmi Party,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,878,Lost_,SIDRAMAPPA NAGAPPA MATHAD,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,855,Lost_,KIRAN SIDRAMAYYA SOULABAVIMATH,All India Mahila Empowerment Party,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,682,Lost_,SHREEKANT SOMALU RATHOD,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,332,Lost_,PUNDALIK RAYAPPA HANDIGANOOR,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,322,Lost_,ABDUL RAHIMAN DUNDASI,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,295,Lost_,BHIMAPPA CHANDAPPA PADEKANOOR,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,290,Lost_,DHARMAPPA CHANDAPPA NATIKAR,Independent,Devar Hippargi,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,5th and above,1139,Lost_,None of the Above,NOTA,Devar Hippargi,0,1,Lost - had less than 20% votes
Bombay Karnataka,BJP,1st,85123,Won_,AMRUT AYYAPPA DESAI,Bharatiya Janata Party,Dharwad,1,1,Won - had more than 50% votes
Bombay Karnataka,Cong-JDS,2nd,64783,Lost_,VINAY KULKARNI,Indian National Congress,Dharwad,0,1,Lost
Bombay Karnataka,Cong-JDS,4th,1263,Lost_,TIRAKAPPA SADEPPA JAMANAL (SHRIKANT),Janata Dal (Secular),Dharwad,0,1,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,794,Lost_,KANTIMATH V RAJASHEKARAYYA,Independent,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,651,Lost_,NAGAPPA KAREPPA KARENNAVAR,Janahitha Paksha,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,285,Lost_,BASAVARAJ YALLAPPA PARASANNAVAR,Independent,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,284,Lost_,SHAKHIL ABDULSATTAR DODAVAD,Independent,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,170,Lost_,FIROZKHAN GULABKHAN HAWALDAR,Lok Awaz Dal,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,157,Lost_,BASAVARAJ UDDINAKOPPA,Azad Mazdoor Kissan Party,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,153,Lost_,SRI S F PATIL,Aam Aadmi Party,Dharwad,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,3rd,1967,Lost_,None of the Above,NOTA,Dharwad,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,73225,Won_,T VENKATARAMANAIAH,Indian National Congress,Doddaballapur,1,1,Won
Bengaluru Karnataka,Cong-JDS,2nd,63280,Lost_,B MUNEGOWDA,Janata Dal (Secular),Doddaballapur,0,1,Lost
Bengaluru Karnataka,BJP,3rd,27612,Lost_,J NARASIMHASWAMY,Bharatiya Janata Party,Doddaballapur,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,4th,1018,Lost_,DR.K.N.VENKATESH,Independent,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,668,Lost_,GOWRAMMA,Republican Sena,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,592,Lost_,M SRINIVAS,Independent,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,286,Lost_,M JAYALAKSHMI,All India Janaraksha Party,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,194,Lost_,MUNEGOWDA,Independent,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,181,Lost_,Y VENKATARAMANAPPA,Independent,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,156,Lost_,MALLESH M,Federal Congress of India,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,143,Lost_,M MANJUNATH,All India Mahila Empowerment Party,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,132,Lost_,S PURUSHOTHAM,Janata Dal (United),Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,129,Lost_,T.M.VENKATARAMANAIAH,Karnataka Pragnyavantha Janatha Party,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,125,Lost_,IBRAHIM SHARIFF TUBHAGERE SHARIFF,Independent,Doddaballapur,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,5th and above,1016,Lost_,None of the Above,NOTA,Doddaballapur,0,1,Lost - had less than 20% votes
Bombay Karnataka,Cong-JDS,1st,77699,Won_,HANAMANTAGOUDA KRISHNAGOUDA PATIL,Indian National Congress,Gadag,1,1,Won
Bombay Karnataka,BJP,2nd,75831,Lost_,ANIL MENSINAKAI,Bharatiya Janata Party,Gadag,0,1,Lost
Bombay Karnataka,Others_a,4th,1043,Lost_,BASANAGOUDA M PATIL,Indian New Congress Party,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,1034,Lost_,MANJUNATH BASAPPA ABBIGERI,Independent,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,985,Lost_,MAHABOOBSAB R SOMPUR,Bahujan Samaj Party,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,791,Lost_,SHIRAJ URF SHIRAJAHMAD BALLARY,All India Mahila Empowerment Party,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,422,Lost_,VISHWANATH KHANAPUR,Independent,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,272,Lost_,ABDULKHADARSAB A,Independent,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,219,Lost_,MALLIKARJUN BASAPPA DESAI,Rani Chennamma Party,Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,Others_a,5th and above,187,Lost_,SHIVARADDEPPA S REDDAR,Janata Dal (United),Gadag,0,0,Lost - had less than 20% votes
Bombay Karnataka,NOTA_a,3rd,2007,Lost_,None of the Above,NOTA,Gadag,0,1,Lost - had less than 20% votes
Bengaluru Karnataka,Cong-JDS,1st,47354,Won_,DINESH GUNDU RAO,Indian National Congress,Gandhi Nagar,1,1,Won
Bengaluru Karnataka,BJP,2nd,37284,Lost_,A.R. SAPTHAGIRI GOWDA,Bharatiya Janata Party,Gandhi Nagar,0,1,Lost
Bengaluru Karnataka,Cong-JDS,3rd,36635,Lost_,V. NARAYANASWAMY,Janata Dal (Secular),Gandhi Nagar,0,1,Lost
Bengaluru Karnataka,Others_a,5th and above,1476,Lost_,V. NAGARAJ,Independent,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,545,Lost_,M.P. YUVARAJ,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHGAM (AMMA),Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,515,Lost_,A. ELANKOVAN,Aam Aadmi Party,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,286,Lost_,S. MOHAN KUMAR,Independent,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,171,Lost_,R. MURTHY,Independent,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,163,Lost_,G. KRISHNA,All India Mahila Empowerment Party,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,123,Lost_,MOHAMED MUJAHID,Jana Samanyara Party (Karnataka),Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,108,Lost_,DR DINESH KUMAR A,Independent,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,Others_a,5th and above,91,Lost_,SYED KAREEM,Samajwadi Party,Gandhi Nagar,0,0,Lost - had less than 20% votes
Bengaluru Karnataka,NOTA_a,4th,2074,Lost_,None of the Above,NOTA,Gandhi Nagar,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,BJP,1st,67617,Won_,PARANNA ESHWARAPPA MUNAVALLI,Bharatiya Janata Party,Gangawati,1,1,Won
Hyderabad Karnataka,Cong-JDS,2nd,59644,Lost_,IQBAL ANSARI,Indian National Congress,Gangawati,0,1,Lost
Hyderabad Karnataka,Cong-JDS,3rd,14161,Lost_,KARIYANNA SANGATI,Janata Dal (Secular),Gangawati,0,1,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,1045,Lost_,G NAGARAJ,Communist Party of India (Marxist),Gangawati,0,0,Lost - had less than 20% votes
Hyderabad Karnataka,Others_a,5th and above,758,Lost_,BHARADWAJ,Communist Party of India (Marxist-Leninist) (Liberation),Gangawati,0,0,Lost - had less than 20% votes
